🇨🇳央视,#genre#
CCTV1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.135.49.209:6610/PLTV/88888888/224/3221226908/1.m3u8?servicetype=1
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV1,http://117.148.179.157/PLTV/88888888/224/3221233151/index.m3u8
CCTV1,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV1,http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://117.148.179.155/TVOD/88888888/224/3221231468/index.m3u8
CCTV1,http://117.148.179.155/TVOD/88888888/224/3221231471/index.m3u8
CCTV1,http://111.63.117.13:6060/030000001000/G_CCTV-1/G_CCTV-1.m3u8
CCTV1,http://111.40.196.9/PLTV/88888888/224/3221225576/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8
CCTV1,http://117.148.179.179/PLTV/88888888/224/3221231643/index.m3u8
CCTV1,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.49.209:6610/PLTV/88888888/224/3221225923/1.m3u8?servicetype=1
CCTV2,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV2,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV2,http://117.148.179.157/PLTV/88888888/224/3221233071/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://111.63.117.13:6060/030000001000/G_CCTV-2/G_CCTV-2.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8
CCTV2,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://39.135.49.209:6610/PLTV/88888888/224/3221227055/1.m3u8?servicetype=1
CCTV3,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV3,http://117.148.179.140/PLTV/88888888/224/3221231528/index.m3u8
CCTV3,http://117.148.179.157/PLTV/88888888/224/3221231682/index.m3u8
CCTV3,http://117.148.179.183/TVOD/88888888/224/3221231682/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV-/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.49.209:6610/PLTV/88888888/224/3221226968/1.m3u8?servicetype=1
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV4,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV4,http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8
CCTV4,http://117.148.179.157/PLTV/88888888/224/3221231726/index.m3u8
CCTV4,http://117.148.179.182/TVOD/88888888/224/3221231726/index.m3u8
CCTV4,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CCTV4,http://117.148.179.166/PLTV/88888888/224/3221231736/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://111.40.196.27/PLTV/88888888/224/3221225745/index.m3u8
CCTV5,http://39.135.49.209:6610/PLTV/88888888/224/3221227170/1.m3u8?servicetype=1
CCTV5,http://117.148.179.165/PLTV/88888888/224/3221231702/index.m3u8
CCTV5,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000064
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8
CCTV5,http://117.148.179.157/PLTV/88888888/224/3221233115/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV5,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://117.148.179.173/PLTV/88888888/224/3221232023/index.m3u8
CCTV5+,http://39.135.49.209:6610/PLTV/88888888/224/3221225939/1.m3u8?servicetype=1
CCTV5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV5+,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000246
CCTV5+,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV5+,http://117.148.179.157/PLTV/88888888/224/3221233107/index.m3u8
CCTV5+,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV5+,http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://117.148.179.146/PLTV/88888888/224/3221230226/index.m3u8
CCTV5+HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://111.40.196.31/PLTV/88888888/224/3221225561/index.m3u8
CCTV6,http://39.135.49.209:6610/PLTV/88888888/224/3221227137/1.m3u8?servicetype=1
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV6,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV6,http://117.148.179.157/PLTV/88888888/224/3221232689/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://39.135.49.209:6610/PLTV/88888888/224/3221225927/1.m3u8?servicetype=1
CCTV7,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV7,http://117.148.179.157/PLTV/88888888/224/3221231633/index.m3u8
CCTV7,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV7,http://39.134.65.179/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.164/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.181/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.65.183/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8
CCTV8,http://39.135.49.209:6610/PLTV/88888888/224/3221227174/1.m3u8?servicetype=1
CCTV8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://117.148.179.157/PLTV/88888888/224/3221231694/index.m3u8
CCTV8,http://117.148.179.160/TVOD/88888888/224/3221231694/index.m3u8
CCTV8,http://111.63.117.13:6060/030000001000/G_CCTV-8/G_CCTV-8.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8
CCTV9,http://39.135.49.209:6610/PLTV/88888888/224/3221226923/1.m3u8?servicetype=1
CCTV9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV9,http://117.148.179.157/PLTV/88888888/224/3221231697/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8
CCTV9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV9,http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8
CCTV9,http://117.148.179.162/TVOD/88888888/224/3221231697/index.m3u8
CCTV9,http://111.63.117.13:6060/030000001000/G_CCTV-9/G_CCTV-9.m3u8
CCTV10,http://39.134.19.57/PLTV/88888888/224/3221225823/index.m3u8
